frame,time_s,patch_id,region,source,face_detected,is_bridge,bridge_age_frames,geometry_valid,geometry_status,anchor_residual_face_fraction,valid,quality,raw_r,raw_g,raw_b,pixel_count,valid_pixels,visible_fraction,valid_pixel_fraction,raw_status,corner0_x,corner0_y,corner1_x,corner1_y,corner2_x,corner2_y,corner3_x,corner3_y,pixel_source,pixel_reset,pixel_tracks,pixel_seeds,pixel_screen_rejected,pixel_color_rejected,pixel_fb_rejected,pixel_geometry_rejected,pixel_fb_error_median,tracked_valid,tracked_r,pixel_log_delta_r,paired_log_delta_r,raw_log_delta_r,tracked_g,pixel_log_delta_g,paired_log_delta_g,raw_log_delta_g,tracked_b,pixel_log_delta_b,paired_log_delta_b,raw_log_delta_b,anchored_r,anchored_g,anchored_b,anchored_source,anchor_correction_log
0,0.0,forehead_0,forehead,missing,False,False,1,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
0,0.0,forehead_1,forehead,missing,False,False,1,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
0,0.0,forehead_2,forehead,missing,False,False,1,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
0,0.0,forehead_3,forehead,missing,False,False,1,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
0,0.0,left_cheek_0,left_cheek,missing,False,False,1,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
0,0.0,left_cheek_1,left_cheek,missing,False,False,1,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
0,0.0,left_cheek_2,left_cheek,missing,False,False,1,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
0,0.0,left_cheek_3,left_cheek,missing,False,False,1,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
0,0.0,right_cheek_0,right_cheek,missing,False,False,1,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
0,0.0,right_cheek_1,right_cheek,missing,False,False,1,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
0,0.0,right_cheek_2,right_cheek,missing,False,False,1,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
0,0.0,right_cheek_3,right_cheek,missing,False,False,1,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
1,0.0333332999999999,forehead_0,forehead,missing,False,False,2,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
1,0.0333332999999999,forehead_1,forehead,missing,False,False,2,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
1,0.0333332999999999,forehead_2,forehead,missing,False,False,2,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
1,0.0333332999999999,forehead_3,forehead,missing,False,False,2,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
1,0.0333332999999999,left_cheek_0,left_cheek,missing,False,False,2,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
1,0.0333332999999999,left_cheek_1,left_cheek,missing,False,False,2,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
1,0.0333332999999999,left_cheek_2,left_cheek,missing,False,False,2,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
1,0.0333332999999999,left_cheek_3,left_cheek,missing,False,False,2,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
1,0.0333332999999999,right_cheek_0,right_cheek,missing,False,False,2,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
1,0.0333332999999999,right_cheek_1,right_cheek,missing,False,False,2,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
1,0.0333332999999999,right_cheek_2,right_cheek,missing,False,False,2,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
1,0.0333332999999999,right_cheek_3,right_cheek,missing,False,False,2,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
2,0.0666665999999999,forehead_0,forehead,missing,False,False,3,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
2,0.0666665999999999,forehead_1,forehead,missing,False,False,3,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
2,0.0666665999999999,forehead_2,forehead,missing,False,False,3,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
2,0.0666665999999999,forehead_3,forehead,missing,False,False,3,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
2,0.0666665999999999,left_cheek_0,left_cheek,missing,False,False,3,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
2,0.0666665999999999,left_cheek_1,left_cheek,missing,False,False,3,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
2,0.0666665999999999,left_cheek_2,left_cheek,missing,False,False,3,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
2,0.0666665999999999,left_cheek_3,left_cheek,missing,False,False,3,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
2,0.0666665999999999,right_cheek_0,right_cheek,missing,False,False,3,False,anchors_unavailable,,False,0.0,,,,0,0,0.0,0.0,invalid_geometry,,,,,,,,,missing,False,0,0,0,0,0,0,,False,,,,,,,,,,,,,,,,missing,
