window_index,time_s,window_start_s,window_end_s,accepted,ridge_bpm,raw_estimate_bpm,status,hr_source,aggregation_mode,eligible_patches,eligible_regions,contributing_patches,contributing_regions,waveform_generated,selected_channels_json,region_medians_json,estimate_near_contributor_peak,region_median_spread_bpm,selected_cluster_score
0,4.999995,0.0,9.99999,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,median,0,0,0,0,False,[],{},False,,
1,5.999994,0.999999,10.999989,False,,,insufficient_regions,spatial_aggregation_of_saved_patch_BVP,median,0,0,0,0,False,[],{},False,,
2,6.999993,1.999998,11.999988,True,181.5,181.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""baseline/forehead_0/pos"", ""baseline/forehead_1/pos"", ""tracked/forehead_2/pos"", ""baseline/forehead_3/pos"", ""baseline/left_cheek_0/pos"", ""baseline/left_cheek_1/chrom"", ""baseline/left_cheek_2/pos"", ""baseline/left_cheek_3/pos"", ""baseline/right_cheek_0/pos"", ""baseline/right_cheek_1/pos"", ""baseline/right_cheek_2/pos"", ""baseline/right_cheek_3/pos""]","{""forehead"": 94.0, ""left_cheek"": 181.5, ""right_cheek"": 182.0}",True,88.0,
3,7.999992,2.999997,12.999986999999999,True,181.0,181.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""baseline/forehead_0/pos"", ""baseline/forehead_1/pos"", ""baseline/forehead_2/pos"", ""baseline/forehead_3/pos"", ""baseline/left_cheek_0/chrom"", ""baseline/left_cheek_1/chrom"", ""baseline/left_cheek_2/pos"", ""baseline/left_cheek_3/pos"", ""baseline/right_cheek_0/pos"", ""baseline/right_cheek_1/pos"", ""baseline/right_cheek_2/pos"", ""baseline/right_cheek_3/pos""]","{""forehead"": 93.5, ""left_cheek"": 181.0, ""right_cheek"": 181.0}",True,87.5,
4,8.999991,3.999996,13.999986,True,180.0,180.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""baseline/forehead_0/pos"", ""baseline/forehead_1/pos"", ""baseline/forehead_2/pos"", ""baseline/forehead_3/pos"", ""baseline/left_cheek_0/chrom"", ""baseline/left_cheek_1/chrom"", ""baseline/left_cheek_2/pos"", ""baseline/left_cheek_3/pos"", ""baseline/right_cheek_0/pos"", ""baseline/right_cheek_1/pos"", ""baseline/right_cheek_2/pos"", ""baseline/right_cheek_3/pos""]","{""forehead"": 93.0, ""left_cheek"": 181.0, ""right_cheek"": 180.0}",True,88.0,
5,9.99999,4.999995,14.999984999999999,True,180.5,180.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""baseline/forehead_0/pos"", ""baseline/forehead_1/pos"", ""baseline/forehead_2/pos"", ""baseline/forehead_3/pos"", ""baseline/left_cheek_0/chrom"", ""baseline/left_cheek_1/chrom"", ""baseline/left_cheek_2/chrom"", ""baseline/left_cheek_3/pos"", ""baseline/right_cheek_0/pos"", ""baseline/right_cheek_1/pos"", ""baseline/right_cheek_2/pos"", ""baseline/right_cheek_3/pos""]","{""forehead"": 93.0, ""left_cheek"": 181.0, ""right_cheek"": 180.5}",True,88.0,
6,10.999989,5.999994,15.999984,True,181.5,181.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""baseline/forehead_0/chrom"", ""baseline/forehead_1/pos"", ""baseline/forehead_2/pos"", ""baseline/forehead_3/pos"", ""baseline/left_cheek_0/chrom"", ""baseline/left_cheek_1/chrom"", ""baseline/left_cheek_2/pos"", ""baseline/left_cheek_3/chrom"", ""baseline/right_cheek_0/pos"", ""baseline/right_cheek_1/pos"", ""baseline/right_cheek_2/pos"", ""baseline/right_cheek_3/pos""]","{""forehead"": 137.5, ""left_cheek"": 182.0, ""right_cheek"": 181.5}",True,44.5,
7,11.999988,6.999993,16.999983,True,182.5,182.5,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""baseline/forehead_0/chrom"", ""baseline/forehead_1/pos"", ""baseline/forehead_2/pos"", ""baseline/forehead_3/pos"", ""baseline/left_cheek_0/pos"", ""baseline/left_cheek_1/pos"", ""baseline/left_cheek_2/pos"", ""baseline/left_cheek_3/chrom"", ""baseline/right_cheek_0/pos"", ""baseline/right_cheek_1/pos"", ""baseline/right_cheek_2/pos"", ""baseline/right_cheek_3/pos""]","{""forehead"": 183.0, ""left_cheek"": 182.5, ""right_cheek"": 182.0}",True,1.0,
8,12.999986999999999,7.999992,17.999982,True,183.0,183.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""baseline/forehead_0/chrom"", ""baseline/forehead_1/pos"", ""baseline/forehead_2/pos"", ""baseline/forehead_3/pos"", ""baseline/left_cheek_0/chrom"", ""baseline/left_cheek_1/pos"", ""baseline/left_cheek_2/pos"", ""baseline/left_cheek_3/chrom"", ""baseline/right_cheek_0/pos"", ""tracked/right_cheek_1/chrom"", ""baseline/right_cheek_2/pos"", ""baseline/right_cheek_3/pos""]","{""forehead"": 183.0, ""left_cheek"": 183.0, ""right_cheek"": 183.0}",True,0.0,
9,13.999986,8.999991,18.999981,True,183.0,183.0,accepted,spatial_aggregation_of_saved_patch_BVP,median,12,3,12,3,True,"[""baseline/forehead_0/chrom"", ""baseline/forehead_1/pos"", ""baseline/forehead_2/pos"", ""baseline/forehead_3/pos"", ""baseline/left_cheek_0/chrom"", ""baseline/left_cheek_1/pos"", ""baseline/left_cheek_2/pos"", ""baseline/left_cheek_3/pos"", ""baseline/right_cheek_0/pos"", ""tracked/right_cheek_1/chrom"", ""baseline/right_cheek_2/pos"", ""baseline/right_cheek_3/pos""]","{""forehead"": 183.0, ""left_cheek"": 183.0, ""right_cheek"": 183.0}",True,0.0,
