frame,time_s,source,rgb_valid,r,g,b,motion_x,motion_y,face_x0,face_y0,face_x1,face_y1,roi_status,roi_valid_regions,forehead_r,forehead_g,forehead_b,forehead_valid,forehead_quality,forehead_valid_pixel_fraction,forehead_visible_fraction,forehead_pixel_count,forehead_valid_pixels,forehead_brightness,forehead_laplacian_var,forehead_status,forehead_rgb_aggregation,left_cheek_r,left_cheek_g,left_cheek_b,left_cheek_valid,left_cheek_quality,left_cheek_valid_pixel_fraction,left_cheek_visible_fraction,left_cheek_pixel_count,left_cheek_valid_pixels,left_cheek_brightness,left_cheek_laplacian_var,left_cheek_status,left_cheek_rgb_aggregation,right_cheek_r,right_cheek_g,right_cheek_b,right_cheek_valid,right_cheek_quality,right_cheek_valid_pixel_fraction,right_cheek_visible_fraction,right_cheek_pixel_count,right_cheek_valid_pixels,right_cheek_brightness,right_cheek_laplacian_var,right_cheek_status,right_cheek_rgb_aggregation,face_detected,flow_available,bridge_age_frames,baseline_forehead_r,baseline_forehead_g,baseline_forehead_b,forehead_pixel_source,forehead_pixel_tracks,forehead_pixel_seeds,forehead_pixel_screen_rejected,forehead_pixel_color_rejected,forehead_pixel_fb_rejected,forehead_pixel_geometry_rejected,forehead_pixel_fb_error_median,forehead_pixel_reset,forehead_pixel_log_delta_r,forehead_pixel_log_delta_g,forehead_pixel_log_delta_b,baseline_left_cheek_r,baseline_left_cheek_g,baseline_left_cheek_b,left_cheek_pixel_source,left_cheek_pixel_tracks,left_cheek_pixel_seeds,left_cheek_pixel_screen_rejected,left_cheek_pixel_color_rejected,left_cheek_pixel_fb_rejected,left_cheek_pixel_geometry_rejected,left_cheek_pixel_fb_error_median,left_cheek_pixel_reset,left_cheek_pixel_log_delta_r,left_cheek_pixel_log_delta_g,left_cheek_pixel_log_delta_b,baseline_right_cheek_r,baseline_right_cheek_g,baseline_right_cheek_b,right_cheek_pixel_source,right_cheek_pixel_tracks,right_cheek_pixel_seeds,right_cheek_pixel_screen_rejected,right_cheek_pixel_color_rejected,right_cheek_pixel_fb_rejected,right_cheek_pixel_geometry_rejected,right_cheek_pixel_fb_error_median,right_cheek_pixel_reset,right_cheek_pixel_log_delta_r,right_cheek_pixel_log_delta_g,right_cheek_pixel_log_delta_b,baseline_r,baseline_g,baseline_b,pixel_mode,pixel_rgb_kind,unanchored_forehead_r,unanchored_forehead_g,unanchored_forehead_b,forehead_unanchored_pixel_source,forehead_anchor_correction_log,unanchored_left_cheek_r,unanchored_left_cheek_g,unanchored_left_cheek_b,left_cheek_unanchored_pixel_source,left_cheek_anchor_correction_log,unanchored_right_cheek_r,unanchored_right_cheek_g,unanchored_right_cheek_b,right_cheek_unanchored_pixel_source,right_cheek_anchor_correction_log,unanchored_r,unanchored_g,unanchored_b,anchor_hz,anchor_order
0,0.0,mesh,True,171.0574876462957,128.5869814663283,119.56177146373916,,,0.42729444742202755,0.16014852315187453,0.5481273603439331,0.4164837265014648,sampled,3,161.01218686526744,120.43195666892349,108.9268788083954,True,0.9983766233766234,0.9983766233766234,1.0,1848,1845,0.5102999448264154,157.16075018525706,sampled,trimmed_mean,167.79984662576686,123.35736196319019,115.22469325153374,True,1.0,1.0,1.0,1628,1628,0.5175859974948209,57.45845002503332,sampled,trimmed_mean,184.36042944785277,141.97162576687117,134.53374233128835,True,1.0,1.0,1.0,1628,1628,0.5977380329527389,39.30428568937029,sampled,trimmed_mean,True,False,0,161.01218686526744,120.43195666892349,108.9268788083954,baseline_reset,0,0,0,0,0,0,,True,,,,167.79984662576686,123.35736196319019,115.22469325153374,baseline_reset,0,0,0,0,0,0,,True,,,,184.36042944785277,141.97162576687117,134.53374233128835,baseline_reset,0,0,0,0,0,0,,True,,,,171.0574876462957,128.5869814663283,119.56177146373916,tracking_screened,anchored_paired_relative_colour,161.01218686526744,120.43195666892349,108.9268788083954,baseline_reset,0.0,167.79984662576686,123.35736196319019,115.22469325153374,baseline_reset,0.0,184.36042944785277,141.97162576687117,134.53374233128835,baseline_reset,0.0,171.0574876462957,128.5869814663283,119.56177146373916,0.15,4
1,0.0055555,mesh,True,171.96897774541722,130.02402822716076,121.03698514461121,-6.606667130081743e-05,8.53527475286413e-06,0.42667785108089445,0.15882289558649063,0.5470685708522797,0.41591652095317844,sampled,3,162.67575376843368,122.45415288034779,111.52985524005919,True,1.0,1.0,1.0,1815,1815,0.5218458207745907,92.71004566313597,sampled,trimmed_mean,167.9318905745326,124.8468635216788,115.06950943492018,True,1.0,1.0,1.0,1628,1628,0.5240171339788987,60.912137218771306,sampled,trimmed_mean,185.29928889328545,142.77106827945568,136.51159075885428,True,1.0,1.0,1.0,1628,1628,0.6008675338440044,36.64758383664668,sampled,trimmed_mean,True,True,0,163.83551273227803,123.51617343427391,112.24501032346869,tracked_ratio,57,60,3,0,0,0,0.00531849660910666,False,0.010278922019862372,0.01665177923448292,0.023615494561743423,168.74693251533742,125.36042944785277,116.18788343558282,tracked_ratio,62,63,1,0,0,0,0.005174169782549143,False,0.0007866039513416277,0.012002369714624176,-0.0013477007961431814,185.01917177914112,142.92331288343559,136.48696319018404,tracked_ratio,62,63,1,0,0,0,0.013696681708097458,False,0.005079598439274211,0.005615207201897138,0.014594485074040757,172.53387234225218,130.5999719218541,121.63995231641185,tracking_screened,anchored_paired_relative_colour,162.67575376837974,122.4541528802985,111.52985524002594,tracked_ratio,6.00899564892894e-13,167.93189057449464,124.84686352165485,115.06950943486825,tracked_ratio,5.397483029985214e-13,185.2992888932984,142.77106827944854,136.51159075885536,tracked_ratio,8.67459745869244e-14,171.96897774539093,130.02402822713395,121.03698514458318,0.15,4
2,0.011111,mesh,True,170.85615751611192,129.50268163042162,119.86365201610236,6.06607507776331e-05,-1.0893190348589862e-05,0.42689088940620423,0.15837276160717012,0.5475626564025879,0.41524495005607603,sampled,3,161.6780662809844,121.28711018083527,110.11631438068966,True,1.0,1.0,1.0,1848,1848,0.5141277077497665,92.87709564192215,sampled,trimmed_mean,167.09061990582202,124.53182972288394,114.88981340748488,True,1.0,1.0,1.0,1628,1628,0.5207708507973214,50.08419547355664,sampled,trimmed_mean,183.79978636152927,142.68910498754565,134.58482826013255,True,1.0,1.0,1.0,1628,1628,0.5990588572529749,35.81286571296952,sampled,trimmed_mean,True,True,0,162.40202702702703,121.59527027027028,109.97162162162162,tracked_ratio,55,60,5,0,0,0,0.008117332123219967,False,-0.006151866096101214,-0.00957615139603904,-0.012755104465440491,167.56978527607362,124.78144171779141,115.6771472392638,tracked_ratio,61,63,2,0,0,0,0.0039101820439100266,False,-0.005022184545300317,-0.002526550784738501,-0.001562850874571818,183.75536809815952,142.78987730061348,134.42331288343559,tracked_ratio,62,63,1,0,0,0,0.009318660944700241,False,-0.00812524810764726,-0.0005742537971490643,-0.014214831381899709,171.2423934670867,129.72219642955838,120.024027248107,tracking_screened,anchored_paired_relative_colour,161.67806628052276,121.28711018043072,110.11631438043418,tracked_ratio,4.966333118773697e-12,167.09061990549813,124.53182972268185,114.88981340703423,tracked_ratio,4.666232884363094e-12,183.7997863616348,142.68910498748426,134.58482826014912,tracked_ratio,7.284913637531759e-13,170.85615751588523,129.50268163019894,119.8636520158725,0.15,4
3,0.0166665,mesh,True,171.40902539016983,129.54029031149946,120.26277173912634,-3.3555207429108797e-07,-4.178903720996998e-05,0.4269635438919067,0.15805103480815888,0.5471072721481323,0.4145562469959259,sampled,3,161.90403957926756,121.78035239230194,110.80902848560106,True,1.0,1.0,1.0,1904,1904,0.5186323550008238,91.03298401544626,sampled,trimmed_mean,167.8263600550653,123.89819641295956,115.5722845466981,True,1.0,1.0,1.0,1665,1665,0.5205792639698522,46.58964241559252,sampled,trimmed_mean,184.49667653617666,142.9423221292369,134.40700218507988,True,1.0,1.0,1.0,1665,1665,0.5993246776187954,36.04072842951062,sampled,trimmed_mean,True,True,0,163.18766404199476,122.7998687664042,111.61220472440945,tracked_ratio,59,60,1,0,0,0,0.0056809899397194386,False,0.0013966985772669992,0.004058485508145993,0.00627104491757781,168.20705176294072,124.22280570142536,116.33833458364592,tracked_ratio,61,63,2,0,0,0,0.0039415257051587105,False,0.004393574382409477,-0.005101111926310216,0.005922649656498687,184.26856714178544,142.8709677419355,134.82220555138784,tracked_ratio,60,63,3,0,0,0,0.007755308412015438,False,0.0037844023872562055,0.0017730346438661739,-0.001322167298562266,171.88776098224028,129.964547403255,120.92424828648107,tracking_screened,anchored_paired_relative_colour,161.90403957722796,121.78035239057547,110.80902848456468,tracked_ratio,2.1146433990164738e-11,167.82636005366004,123.89819641209554,115.572284544706,tracked_ratio,2.0392645200969684e-11,184.496676536619,142.94232212897592,134.40700218515673,tracked_ratio,3.0668578282560738e-12,171.409025389169,129.54029031054895,120.26277173814246,0.15,4
4,0.022222,mesh,True,171.6669238552964,130.0738609541078,120.57500825840513,-2.0357414528175635e-05,2.3036312173914026e-05,0.42684917747974394,0.15812053948640822,0.547556915283203,0.41393198013305665,sampled,3,162.01837609944963,122.0339555384323,110.58942833997793,True,1.0,1.0,1.0,1904,1904,0.5194481154226397,87.3696178717075,sampled,trimmed_mean,168.1480545950471,124.96496028403374,116.00895404126236,True,1.0,1.0,1.0,1628,1628,0.5236884641325817,56.047766474826275,sampled,trimmed_mean,184.83434087139238,143.22266703985736,135.1266423939751,True,1.0,1.0,1.0,1628,1628,0.6017939755263285,39.100513267630284,sampled,trimmed_mean,True,True,0,163.31102362204723,122.9730971128609,111.41732283464567,tracked_ratio,60,60,0,0,0,0,0.0028349445201456547,False,0.0007059500369859885,0.002080298209672756,-0.0019837556481521103,168.67638036809817,125.32361963190183,117.24846625766871,tracked_ratio,59,63,4,0,0,0,0.003399834968149662,False,0.0019149948416968712,0.008573148531336923,0.0037712036662435828,184.71472392638037,143.16717791411043,135.83895705521473,tracked_ratio,60,63,3,0,0,0,0.0059001813642680645,False,0.0018285192103332795,0.0019593242390570534,0.0053399041897927895,172.23404263884194,130.48796488629105,121.50158204917636,tracking_screened,anchored_paired_relative_colour,162.01837609314106,122.03395553325012,110.58942833697452,tracked_ratio,6.369479074759255e-11,168.14805459084323,124.96496028143028,116.00895403516364,tracked_ratio,6.182874104249658e-11,184.8343408726902,143.22266703911333,135.1266423941274,tracked_ratio,8.806555695631136e-12,171.66692385222484,130.07386095126458,120.57500825542185,0.15,4
5,0.0277775,mesh,True,171.07263402623644,128.71481429032482,119.44289527959374,5.557978594744647e-05,-6.978114446004232e-05,0.4268427908420563,0.15820269852876662,0.5473541224002838,0.4142804205417633,sampled,3,161.13312343792595,120.73102295550827,109.15743881551533,True,1.0,1.0,1.0,1848,1848,0.5127977633477634,92.74836587379829,sampled,trimmed_mean,167.7902800202659,123.31327640661387,114.7269643430487,True,1.0,1.0,1.0,1628,1628,0.5174820108878931,58.2056818152581,sampled,trimmed_mean,184.29449862051757,142.10014350885228,134.44428268021716,True,1.0,1.0,1.0,1628,1628,0.5963969239292769,39.86159671194816,sampled,trimmed_mean,True,True,0,162.05135135135134,121.07027027027027,109.52837837837838,tracked_ratio,56,60,4,0,0,0,0.0044708342757076025,False,-0.005478884588326436,-0.010734209760683204,-0.013033267027994308,167.7676380368098,123.54754601226993,115.14340490797547,tracked_ratio,59,63,4,0,0,0,0.006083130370825529,False,-0.0021300023184255006,-0.013305300291700593,-0.011112295890760487,183.84125766871165,141.9585889570552,134.71242331288343,tracked_ratio,61,63,2,0,0,0,0.012282215990126133,False,-0.0029249550629922992,-0.007868486373735209,-0.005062572464936479,171.22008235229092,128.8588017465318,119.79473553307908,tracking_screened,anchored_paired_relative_colour,161.13312342241733,120.73102294314769,109.15743880841526,tracked_ratio,1.548423852896294e-10,167.79028001033487,123.31327640049122,114.72696432840273,tracked_ratio,1.4921575552276255e-10,184.29449862357842,142.1001435072314,134.44428268019857,tracked_ratio,2.0148919066187615e-11,171.07263401877685,128.71481428362344,119.44289527233884,0.15,4
6,0.033333,mesh,True,172.1082976593885,130.35054472729124,121.23751365590469,-0.00010471873813205295,2.546740902794732e-05,0.4268540626764298,0.1584195873141289,0.5473207485675811,0.4143245732784271,sampled,3,162.15646507038335,122.82301240696688,112.09592730344787,True,1.0,1.0,1.0,1848,1848,0.5213532934385875,91.81021543812865,sampled,trimmed_mean,168.89134308573566,124.75491633420386,116.75518236716532,True,1.0,1.0,1.0,1665,1665,0.5253547335570865,49.327090811878534,sampled,trimmed_mean,185.27708482204656,143.47370544070301,134.8614312971009,True,1.0,1.0,1.0,1665,1665,0.602136722604958,31.316388846380082,sampled,trimmed_mean,True,True,0,163.40878378378378,123.44054054054054,113.04797297297297,tracked_ratio,58,60,2,0,0,0,0.008248413912951946,False,0.006330825794055194,0.017179275104061708,0.026563765522705497,169.51162790697674,125.50487621905476,117.84771192798199,tracked_ratio,59,63,4,0,0,0,0.00774294463917613,False,0.0065407013930294244,0.01162306328022695,0.01752420168716867,184.98949737434359,143.38109527381846,135.69167291822956,tracked_ratio,57,63,6,0,0,0,0.019048182293772697,False,0.0053174462758848046,0.009619736036058946,0.0030979584006650828,172.6366363550347,130.77550401113794,122.19578593972817,tracking_screened,anchored_paired_relative_colour,162.15646503729874,122.82301238086872,112.09592728813655,tracked_ratio,3.2470718655948705e-10,168.89134306550656,124.75491632150322,116.75518233615149,tracked_ratio,3.086589961423114e-10,185.2770848283913,143.47370543769944,134.86143129605188,tracked_ratio,4.088356703873758e-11,172.10829764373224,130.35054471335712,121.2375136401133,0.15,4
7,0.0388885,mesh,True,170.86640080866152,128.413478630512,119.4245105672129,7.941457960340712e-05,-9.497669008043077e-05,0.4268583792448044,0.15770754009485244,0.5477392375469208,0.4140687745809555,sampled,3,160.88880363881546,120.38405021399588,109.07393092293259,True,1.0,1.0,1.0,1848,1848,0.5139357546048722,74.55461274313842,sampled,trimmed_mean,167.66874822282355,123.22134229465533,114.68929285515205,True,1.0,1.0,1.0,1628,1628,0.5173057016909958,44.11410233534158,sampled,trimmed_mean,184.04165056434556,141.63504338288473,134.51030792355405,True,1.0,1.0,1.0,1628,1628,0.5969969263381029,31.273215214934496,sampled,trimmed_mean,True,True,0,162.37702702702703,121.15202702702703,109.80608108108108,tracked_ratio,59,60,1,0,0,0,0.009720811154693365,False,-0.007848237325581264,-0.020057344995964305,-0.027329080958386757,167.54601226993864,123.50920245398773,115.06901840490798,tracked_ratio,63,63,0,0,0,0,0.009131553582847118,False,-0.007265271721817554,-0.012368874426382289,-0.017852613725390636,183.82438650306747,141.69248466257667,134.92944785276075,tracked_ratio,61,63,2,0,0,0,0.00949900969862938,False,-0.006690366569945464,-0.01289814891680991,-0.002606981536508312,171.2491419333444,128.78457138119714,119.9348491129166,tracking_screened,anchored_paired_relative_colour,160.8888035765807,120.38405016645358,109.07393089459941,tracked_ratio,6.107927691784616e-10,167.66874818647415,123.22134227149326,114.68929279843917,tracked_ratio,5.717115583849424e-10,184.0416505761585,141.63504337810204,134.51030791961884,tracked_ratio,7.820461086804132e-11,170.86640077973777,128.4134786053496,119.42451053755246,0.15,4
8,0.044444,mesh,True,171.66370752558183,130.41336102563525,121.07138447882964,-4.840250368471499e-05,4.141628742218018e-05,0.4269867569208145,0.15747327774763106,0.5479407441616058,0.4138971227407455,sampled,3,162.09074149245367,123.11077827122878,112.09526318869733,True,1.0,1.0,1.0,1815,1815,0.5262434332631124,71.4236972267632,sampled,trimmed_mean,168.14438016745618,124.79430089724441,115.68811021064657,True,1.0,1.0,1.0,1628,1628,0.5236099195452137,41.64222202458059,sampled,trimmed_mean,184.7560009168357,143.33500390843255,135.43078003714498,True,1.0,1.0,1.0,1628,1628,0.6032391626921038,36.092879024761686,sampled,trimmed_mean,True,True,0,164.25533379215418,124.66551961459051,113.59944941500343,tracked_ratio,60,60,0,0,0,0,0.015895732678472996,False,0.007442845058123559,0.022397535319967566,0.027323156098270438,168.55521472392638,125.39493865030674,116.77914110429448,tracked_ratio,63,63,0,0,0,0,0.007208611350506544,False,0.0028327197373624858,0.012684519864117267,0.008671193962740669,184.99539877300614,143.56365030674846,136.25920245398774,tracked_ratio,61,63,2,0,0,0,0.013527456670999527,False,0.003873946874483378,0.011930942952126163,0.006819826369890689,172.60198242969557,131.20803619054857,122.21259765776188,tracking_screened,anchored_paired_relative_colour,162.09074138308506,123.11077818805725,112.09526313741527,tracked_ratio,1.0587621024150702e-09,168.14438010671384,124.79430085712261,115.68811011269455,tracked_ratio,9.750650480916543e-10,184.75600093747548,143.33500390131422,135.43078002697027,tracked_ratio,1.4349393362129495e-10,171.66370747575812,130.4133609821647,121.07138442569335,0.15,4
9,0.0499995,mesh,True,171.11769565873752,128.71432481510703,119.68034664355183,6.002496790002894e-05,4.8040239899246785e-06,0.4265449351072312,0.15747016966342925,0.5474934005737304,0.4139934468269348,sampled,3,161.68806184643702,120.63418760049595,109.70889916129444,True,1.0,1.0,1.0,1848,1848,0.5143776419658772,75.14575934126985,sampled,trimmed_mean,167.38969010531983,123.66573020740141,115.05425164062142,True,1.0,1.0,1.0,1628,1628,0.5202502673796792,51.697605454326236,sampled,trimmed_mean,184.27533502445576,141.84305663742373,134.27788912873962,True,1.0,1.0,1.0,1672,1672,0.5956519420208275,30.81713448217046,sampled,trimmed_mean,True,True,0,162.85,121.29864864864865,109.96283783783784,tracked_ratio,57,60,3,0,0,0,0.014969005715101957,False,-0.0024873766847401647,-0.020321863409309276,-0.021518587555276827,168.00766871165644,124.2292944785276,115.83128834355828,tracked_ratio,59,63,4,0,0,0,0.005778247956186533,False,-0.004498448508574031,-0.009084587738413055,-0.005494094959255714,184.01420029895365,141.47533632286996,134.42899850523168,tracked_ratio,63,63,0,0,0,0,0.019158557057380676,False,-0.0026050153702829506,-0.010463363714531044,-0.008549209376594152,171.62395633687,129.0010931500154,120.07437489554259,tracking_screened,anchored_paired_relative_colour,161.68806166784046,120.63418746955438,109.70889907807091,tracked_ratio,1.7244496351076916e-09,167.38969001072715,123.66573014327606,115.05425148424824,tracked_ratio,1.560592507259534e-09,184.27533505810393,141.84305662770802,134.27788910737422,tracked_ratio,2.5169447512426415e-10,171.11769557889053,128.71432474684616,119.68034655656446,0.15,4
