record_type,window_index,channel,patch_id,region,branch,method,status,observed_fraction,mean_quality,tracked_fraction,reset_fraction,representative,peak_bpm,peak_concentration,peak_fwhm_bpm,spectral_score,cluster_index,patch_ids_json,regions_json,patch_count,region_count,qualified,cluster_score,selected,coefficient,polarity,medoid_channel
channel,0,baseline/forehead/chrom,forehead,forehead,baseline,chrom,nonfinite_bvp,1.0,0.9991612801066149,0.0,0.0005555555555555556,False,,,,,,,,,,,,,,,
channel,0,baseline/forehead/pos,forehead,forehead,baseline,pos,nonfinite_bvp,1.0,0.9991612801066149,0.0,0.0005555555555555556,False,,,,,,,,,,,,,,,
channel,0,baseline/left_cheek/chrom,left_cheek,left_cheek,baseline,chrom,nonfinite_bvp,1.0,0.9999991209312789,0.0,0.0005555555555555556,False,,,,,,,,,,,,,,,
channel,0,baseline/left_cheek/pos,left_cheek,left_cheek,baseline,pos,nonfinite_bvp,1.0,0.9999991209312789,0.0,0.0005555555555555556,False,,,,,,,,,,,,,,,
channel,0,baseline/right_cheek/chrom,right_cheek,right_cheek,baseline,chrom,nonfinite_bvp,1.0,0.9999999887150499,0.0,0.0005555555555555556,False,,,,,,,,,,,,,,,
channel,0,baseline/right_cheek/pos,right_cheek,right_cheek,baseline,pos,nonfinite_bvp,1.0,0.9999999887150499,0.0,0.0005555555555555556,False,,,,,,,,,,,,,,,
channel,0,tracked/forehead/chrom,forehead,forehead,tracked,chrom,nonfinite_bvp,1.0,0.9991612801066149,0.0,0.0005555555555555556,False,,,,,,,,,,,,,,,
channel,0,tracked/forehead/pos,forehead,forehead,tracked,pos,nonfinite_bvp,1.0,0.9991612801066149,0.0,0.0005555555555555556,False,,,,,,,,,,,,,,,
channel,0,tracked/left_cheek/chrom,left_cheek,left_cheek,tracked,chrom,nonfinite_bvp,1.0,0.9999991209312789,0.0,0.0005555555555555556,False,,,,,,,,,,,,,,,
channel,0,tracked/left_cheek/pos,left_cheek,left_cheek,tracked,pos,nonfinite_bvp,1.0,0.9999991209312789,0.0,0.0005555555555555556,False,,,,,,,,,,,,,,,
channel,0,tracked/right_cheek/chrom,right_cheek,right_cheek,tracked,chrom,nonfinite_bvp,1.0,0.9999999887150499,0.0,0.0005555555555555556,False,,,,,,,,,,,,,,,
