window_index,time_s,window_start_s,window_end_s,reference_bpm,reference_valid,estimated_bpm,accepted,V25_bpm,V25_accepted,error_bpm,abs_error_bpm,status,common,new,lost,fusion_readout_bpm,fusion_readout_accepted
26,30.999969,25.999974,35.999964,99.2,True,185.5,True,186.0,True,86.3,86.3,accepted,True,False,False,93.0,True
27,31.999968,26.999973,36.999963,99.4,True,186.0,True,186.0,True,86.6,86.6,accepted,True,False,False,186.0,True
28,32.999967,27.999972,37.999962,99.6,True,186.0,True,186.0,True,86.4,86.4,accepted,True,False,False,186.0,True
29,33.999966,28.999971,38.999961,99.9,True,186.0,True,186.0,True,86.1,86.1,accepted,True,False,False,186.0,True
30,34.999965,29.99997,39.99996,100.2,True,185.0,True,185.0,True,84.8,84.8,accepted,True,False,False,185.0,True
31,35.999964,30.999969,40.999959,100.6,True,185.0,True,185.0,True,84.4,84.4,accepted,True,False,False,185.0,True
32,36.999963,31.999968,41.999958,101.0,True,184.5,True,184.0,True,83.5,83.5,accepted,True,False,False,184.0,True
33,37.999962,32.999967,42.999957,101.5,True,184.0,True,184.0,True,82.5,82.5,accepted,True,False,False,184.0,True
34,38.999961,33.999966,43.999956,102.0,True,184.0,True,184.0,True,82.0,82.0,accepted,True,False,False,184.0,True
35,39.99996,34.999965,44.999955,102.4,True,184.0,True,184.0,True,81.6,81.6,accepted,True,False,False,184.0,True
36,40.999959,35.999964,45.999954,102.8,True,184.0,True,184.0,True,81.2,81.2,accepted,True,False,False,184.0,True
37,41.999958,36.999963,46.999953,103.2,True,184.0,True,184.0,True,80.8,80.8,accepted,True,False,False,184.0,True
38,42.999957,37.999962,47.999952,103.6,True,184.0,True,184.0,True,80.4,80.4,accepted,True,False,False,184.0,True
39,43.999956,38.999961,48.999951,103.9,True,184.0,True,184.0,True,80.1,80.1,accepted,True,False,False,184.0,True
40,44.999955,39.99996,49.99995,104.2,True,184.0,True,184.0,True,79.8,79.8,accepted,True,False,False,184.0,True
41,45.999954,40.999959,50.999949,104.4,True,184.0,True,184.0,True,79.6,79.6,accepted,True,False,False,185.0,True
42,46.999953,41.999958,51.999948,104.7,True,184.5,True,185.0,True,79.8,79.8,accepted,True,False,False,185.0,True
43,47.999952,42.999957,52.999947,104.9,True,185.0,True,185.0,True,80.1,80.1,accepted,True,False,False,185.0,True
44,48.999951,43.999956,53.999946,105.1,True,185.5,True,185.0,True,80.4,80.4,accepted,True,False,False,185.0,True
45,49.99995,44.999955,54.999945,105.4,True,186.0,True,185.0,True,80.6,80.6,accepted,True,False,False,185.0,True
46,50.999949,45.999954,55.999944,105.7,True,185.0,True,185.0,True,79.3,79.3,accepted,True,False,False,185.0,True
47,51.999948,46.999953,56.999943,105.9,True,184.5,True,185.0,True,78.6,78.6,accepted,True,False,False,185.0,True
48,52.999947,47.999952,57.999942,106.2,True,184.0,True,184.0,True,77.8,77.8,accepted,True,False,False,184.0,True
49,53.999946,48.999951,58.999941,106.5,True,183.5,True,184.0,True,77.0,77.0,accepted,True,False,False,184.0,True
50,54.999945,49.99995,59.99994,106.8,True,184.0,True,184.0,True,77.2,77.2,accepted,True,False,False,184.0,True
51,55.999944,50.999949,60.999939,107.2,True,,False,,False,,,insufficient_regions,False,False,False,,False
52,56.999943,51.999948,61.999938,107.5,True,,False,,False,,,insufficient_regions,False,False,False,,False
