window_index,time_s,window_start_s,window_end_s,reference_bpm,reference_valid,estimated_bpm,accepted,error_bpm,abs_error_bpm,status,V25_bpm,V25_accepted,common,new,lost,V26_harmonic_bpm,V26_harmonic_accepted,V26_conservative_bpm,V26_conservative_accepted,case
0,4.999995,0.0,9.99999,101.3,True,,False,,,gap_or_filter_edge,,False,False,False,False,,False,,False,data1
1,5.999994,0.999999,10.999989,101.4,True,,False,,,gap_or_filter_edge,,False,False,False,False,,False,,False,data1
2,6.999993,1.999998,11.999988,101.4,True,,False,,,gap_or_filter_edge,,False,False,False,False,,False,,False,data1
3,7.999992,2.999997,12.999987,101.3,True,,False,,,gap_or_filter_edge,,False,False,False,False,48.0,True,,False,data1
4,8.999991,3.999996,13.999986,101.2,True,92.0,True,-9.200000000000005,9.200000000000005,candidate_only,92.0,True,True,False,False,48.0,True,48.0,True,data1
5,9.99999,4.999995,14.999985,101.2,True,92.0,True,-9.200000000000005,9.200000000000005,candidate_only,92.0,True,True,False,False,48.0,True,48.0,True,data1
6,10.999989,5.999994,15.999984,101.3,True,93.0,True,-8.299999999999997,8.299999999999997,candidate_only,93.0,True,True,False,False,48.0,True,48.0,True,data1
7,11.999988,6.999993,16.999983,101.4,True,94.0,True,-7.400000000000006,7.400000000000006,candidate_only,94.0,True,True,False,False,48.0,True,48.0,True,data1
8,12.999987,7.999992,17.999982,101.5,True,94.0,True,-7.5,7.5,candidate_only,94.0,True,True,False,False,48.0,True,48.0,True,data1
9,13.999986,8.999991,18.999981,101.7,True,94.0,True,-7.700000000000003,7.700000000000003,candidate_only,94.0,True,True,False,False,48.0,True,48.0,True,data1
10,14.999985,9.99999,19.99998,101.9,True,94.0,True,-7.900000000000006,7.900000000000006,candidate_only,94.0,True,True,False,False,48.0,True,48.0,True,data1
11,15.999984,10.999989,20.999979,102.2,True,94.0,True,-8.200000000000003,8.200000000000003,candidate_only,94.0,True,True,False,False,48.0,True,48.0,True,data1
12,16.999983,11.999988,21.999978,102.6,True,93.0,True,-9.599999999999994,9.599999999999994,candidate_only,93.0,True,True,False,False,48.0,True,48.0,True,data1
13,17.999982,12.999987,22.999977,103.0,True,93.0,True,-10.0,10.0,candidate_only,93.0,True,True,False,False,48.0,True,48.0,True,data1
14,18.999981,13.999986,23.999976,103.4,True,92.0,True,-11.400000000000006,11.400000000000006,candidate_only,92.0,True,True,False,False,48.0,True,48.0,True,data1
15,19.99998,14.999985,24.999975,103.7,True,92.0,True,-11.700000000000005,11.700000000000005,candidate_only,92.0,True,True,False,False,49.0,True,49.0,True,data1
16,20.999979,15.999984,25.999974,103.9,True,92.0,True,-11.900000000000006,11.900000000000006,candidate_only,92.0,True,True,False,False,50.0,True,50.0,True,data1
17,21.999978,16.999983,26.999973,104.1,True,92.0,True,-12.099999999999994,12.099999999999994,candidate_only,92.0,True,True,False,False,51.0,True,51.0,True,data1
18,22.999977,17.999982,27.999972,104.3,True,92.0,True,-12.299999999999995,12.299999999999995,candidate_only,92.0,True,True,False,False,52.0,True,52.0,True,data1
19,23.999976,18.999981,28.999971,104.5,True,92.0,True,-12.5,12.5,candidate_only,92.0,True,True,False,False,52.0,True,52.0,True,data1
20,24.999975,19.99998,29.99997,104.7,True,93.0,True,-11.700000000000005,11.700000000000005,candidate_only,93.0,True,True,False,False,94.0,True,52.0,True,data1
21,25.999974,20.999979,30.999969,104.9,True,94.0,True,-10.900000000000006,10.900000000000006,candidate_only,94.0,True,True,False,False,94.0,True,94.0,True,data1
22,26.999973,21.999978,31.999968,105.1,True,94.0,True,-11.099999999999994,11.099999999999994,candidate_only,94.0,True,True,False,False,94.0,True,94.0,True,data1
23,27.999972,22.999977,32.999967,105.4,True,94.0,True,-11.400000000000006,11.400000000000006,candidate_only,94.0,True,True,False,False,94.0,True,94.0,True,data1
24,28.999971,23.999976,33.999966,105.8,True,94.0,True,-11.799999999999995,11.799999999999995,candidate_only,94.0,True,True,False,False,94.0,True,94.0,True,data1
25,29.99997,24.999975,34.999965,106.3,True,94.0,True,-12.299999999999995,12.299999999999995,candidate_only,94.0,True,True,False,False,94.0,True,94.0,True,data1
26,30.999969,25.999974,35.999964,106.9,True,94.0,True,-12.900000000000006,12.900000000000006,candidate_only,94.0,True,True,False,False,94.0,True,94.0,True,data1
27,31.999968,26.999973,36.999963,107.5,True,94.0,True,-13.5,13.5,candidate_only,94.0,True,True,False,False,94.0,True,94.0,True,data1
28,32.999967,27.999972,37.999962,108.3,True,95.0,True,-13.299999999999995,13.299999999999995,candidate_only,95.0,True,True,False,False,95.0,True,95.0,True,data1
29,33.999966,28.999971,38.999961,109.1,True,95.0,True,-14.099999999999994,14.099999999999994,candidate_only,95.0,True,True,False,False,95.0,True,95.0,True,data1
30,34.999965,29.99997,39.99996,110.0,True,95.0,True,-15.0,15.0,candidate_only,95.0,True,True,False,False,95.0,True,95.0,True,data1
31,35.999964,30.999969,40.999959,110.9,True,95.0,True,-15.900000000000006,15.900000000000006,candidate_only,95.0,True,True,False,False,95.0,True,95.0,True,data1
32,36.999963,31.999968,41.999958,111.7,True,95.0,True,-16.700000000000003,16.700000000000003,candidate_only,95.0,True,True,False,False,95.0,True,95.0,True,data1
33,37.999962,32.999967,42.999957,112.4,True,95.0,True,-17.400000000000006,17.400000000000006,candidate_only,95.0,True,True,False,False,94.0,True,95.0,True,data1
34,38.999961,33.999966,43.999956,112.9,True,94.0,True,-18.90000000000001,18.90000000000001,candidate_only,94.0,True,True,False,False,94.0,True,94.0,True,data1
35,39.99996,34.999965,44.999955,113.3,True,94.0,True,-19.3,19.3,candidate_only,94.0,True,True,False,False,94.0,True,94.0,True,data1
36,40.999959,35.999964,45.999954,113.7,True,94.0,True,-19.700000000000003,19.700000000000003,candidate_only,94.0,True,True,False,False,94.0,True,94.0,True,data1
37,41.999958,36.999963,46.999953,114.0,True,94.0,True,-20.0,20.0,candidate_only,94.0,True,True,False,False,94.0,True,94.0,True,data1
38,42.999957,37.999962,47.999952,114.3,True,94.0,True,-20.3,20.3,candidate_only,94.0,True,True,False,False,94.0,True,94.0,True,data1
39,43.999956,38.999961,48.999951,114.6,True,94.0,True,-20.599999999999994,20.599999999999994,candidate_only,94.0,True,True,False,False,94.0,True,94.0,True,data1
40,44.999955,39.99996,49.99995,114.9,True,94.0,True,-20.90000000000001,20.90000000000001,candidate_only,94.0,True,True,False,False,94.0,True,94.0,True,data1
41,45.999954,40.999959,50.999949,115.2,True,,False,,,gap_or_filter_edge,,False,False,False,False,,False,,False,data1
0,4.999995,0.0,9.99999,76.5,True,,False,,,gap_or_filter_edge,,False,False,False,False,,False,,False,data2
1,5.999994,0.999999,10.999989,77.1,True,,False,,,gap_or_filter_edge,,False,False,False,False,,False,,False,data2
2,6.999993,1.999998,11.999988,77.8,True,75.0,True,-2.799999999999997,2.799999999999997,candidate_only,75.0,True,True,False,False,76.0,True,75.0,True,data2
3,7.999992,2.999997,12.999987,78.4,True,76.0,True,-2.4000000000000057,2.4000000000000057,candidate_only,76.0,True,True,False,False,76.0,True,76.0,True,data2
4,8.999991,3.999996,13.999986,79.0,True,77.0,True,-2.0,2.0,candidate_only,77.0,True,True,False,False,76.0,True,77.0,True,data2
5,9.99999,4.999995,14.999985,79.5,True,77.0,True,-2.5,2.5,candidate_only,77.0,True,True,False,False,76.0,True,77.0,True,data2
6,10.999989,5.999994,15.999984,79.8,True,77.0,True,-2.799999999999997,2.799999999999997,candidate_only,77.0,True,True,False,False,76.0,True,77.0,True,data2
7,11.999988,6.999993,16.999983,80.1,True,76.0,True,-4.099999999999994,4.099999999999994,candidate_only,76.0,True,True,False,False,76.0,True,76.0,True,data2
8,12.999987,7.999992,17.999982,80.2,True,76.0,True,-4.200000000000003,4.200000000000003,candidate_only,76.0,True,True,False,False,76.0,True,76.0,True,data2
9,13.999986,8.999991,18.999981,80.1,True,76.0,True,-4.099999999999994,4.099999999999994,candidate_only,76.0,True,True,False,False,76.0,True,76.0,True,data2
10,14.999985,9.99999,19.99998,79.9,True,77.0,True,-2.9000000000000057,2.9000000000000057,candidate_only,77.0,True,True,False,False,77.0,True,77.0,True,data2
11,15.999984,10.999989,20.999979,79.6,True,78.0,True,-1.5999999999999943,1.5999999999999943,candidate_only,78.0,True,True,False,False,78.0,True,78.0,True,data2
12,16.999983,11.999988,21.999978,79.2,True,79.0,True,-0.2000000000000028,0.2000000000000028,candidate_only,79.0,True,True,False,False,79.0,True,79.0,True,data2
13,17.999982,12.999987,22.999977,78.8,True,80.0,True,1.2000000000000028,1.2000000000000028,candidate_only,80.0,True,True,False,False,80.0,True,80.0,True,data2
14,18.999981,13.999986,23.999976,78.4,True,80.0,True,1.5999999999999943,1.5999999999999943,candidate_only,80.0,True,True,False,False,80.0,True,80.0,True,data2
15,19.99998,14.999985,24.999975,78.0,True,80.0,True,2.0,2.0,candidate_only,80.0,True,True,False,False,80.0,True,80.0,True,data2
16,20.999979,15.999984,25.999974,77.7,True,79.0,True,1.2999999999999972,1.2999999999999972,candidate_only,79.0,True,True,False,False,80.0,True,79.0,True,data2
17,21.999978,16.999983,26.999973,77.5,True,78.0,True,0.5,0.5,candidate_only,78.0,True,True,False,False,79.0,True,78.0,True,data2
18,22.999977,17.999982,27.999972,77.4,True,78.0,True,0.5999999999999943,0.5999999999999943,candidate_only,78.0,True,True,False,False,79.0,True,78.0,True,data2
19,23.999976,18.999981,28.999971,77.5,True,78.0,True,0.5,0.5,candidate_only,78.0,True,True,False,False,79.0,True,78.0,True,data2
20,24.999975,19.99998,29.99997,77.5,True,79.0,True,1.5,1.5,candidate_only,79.0,True,True,False,False,79.0,True,79.0,True,data2
21,25.999974,20.999979,30.999969,77.6,True,80.0,True,2.4000000000000057,2.4000000000000057,candidate_only,80.0,True,True,False,False,80.0,True,80.0,True,data2
22,26.999973,21.999978,31.999968,77.7,True,81.0,True,3.299999999999997,3.299999999999997,candidate_only,81.0,True,True,False,False,81.0,True,81.0,True,data2
23,27.999972,22.999977,32.999967,77.9,True,81.0,True,3.0999999999999943,3.0999999999999943,candidate_only,81.0,True,True,False,False,81.0,True,81.0,True,data2
24,28.999971,23.999976,33.999966,78.1,True,81.0,True,2.9000000000000057,2.9000000000000057,candidate_only,81.0,True,True,False,False,81.0,True,81.0,True,data2
25,29.99997,24.999975,34.999965,78.4,True,81.0,True,2.5999999999999943,2.5999999999999943,candidate_only,81.0,True,True,False,False,81.0,True,81.0,True,data2
26,30.999969,25.999974,35.999964,78.7,True,81.0,True,2.299999999999997,2.299999999999997,candidate_only,81.0,True,True,False,False,81.0,True,81.0,True,data2
27,31.999968,26.999973,36.999963,79.0,True,81.0,True,2.0,2.0,candidate_only,81.0,True,True,False,False,80.0,True,81.0,True,data2
28,32.999967,27.999972,37.999962,79.3,True,81.0,True,1.7000000000000028,1.7000000000000028,candidate_only,81.0,True,True,False,False,80.0,True,81.0,True,data2
29,33.999966,28.999971,38.999961,79.5,True,82.0,True,2.5,2.5,candidate_only,82.0,True,True,False,False,80.0,True,82.0,True,data2
30,34.999965,29.99997,39.99996,79.8,True,84.0,True,4.200000000000003,4.200000000000003,candidate_only,84.0,True,True,False,False,79.0,True,84.0,True,data2
31,35.999964,30.999969,40.999959,80.0,True,86.0,True,6.0,6.0,candidate_only,86.0,True,True,False,False,79.0,True,86.0,True,data2
32,36.999963,31.999968,41.999958,80.2,True,88.0,True,7.799999999999997,7.799999999999997,candidate_only,88.0,True,True,False,False,79.0,True,88.0,True,data2
33,37.999962,32.999967,42.999957,80.4,True,90.0,True,9.599999999999994,9.599999999999994,candidate_only,90.0,True,True,False,False,,False,90.0,True,data2
34,38.999961,33.999966,43.999956,80.7,True,91.0,True,10.299999999999995,10.299999999999995,candidate_only,91.0,True,True,False,False,,False,91.0,True,data2
35,39.99996,34.999965,44.999955,81.0,True,,False,,,gap_or_filter_edge,,False,False,False,False,,False,,False,data2
36,40.999959,35.999964,45.999954,81.2,True,,False,,,gap_or_filter_edge,,False,False,False,False,,False,,False,data2
0,4.999995,0.0,9.99999,103.4,True,,False,,,gap_or_filter_edge,,False,False,False,False,,False,,False,data3
1,5.999994,0.999999,10.999989,103.1,True,,False,,,gap_or_filter_edge,,False,False,False,False,,False,,False,data3
2,6.999993,1.999998,11.999988,102.7,True,,False,,,gap_or_filter_edge,,False,False,False,False,58.0,True,,False,data3
3,7.999992,2.999997,12.999987,102.2,True,,False,,,gap_or_filter_edge,,False,False,False,False,59.0,True,,False,data3
4,8.999991,3.999996,13.999986,101.6,True,55.0,True,-46.6,46.6,candidate_only,55.0,True,True,False,False,61.0,True,55.0,True,data3
5,9.99999,4.999995,14.999985,101.1,True,54.0,True,-47.1,47.1,candidate_only,54.0,True,True,False,False,62.0,True,54.0,True,data3
6,10.999989,5.999994,15.999984,100.7,True,53.0,True,-47.7,47.7,candidate_only,53.0,True,True,False,False,63.0,True,53.0,True,data3
7,11.999988,6.999993,16.999983,100.4,True,53.0,True,-47.400000000000006,47.400000000000006,candidate_only,53.0,True,True,False,False,63.0,True,53.0,True,data3
8,12.999987,7.999992,17.999982,100.1,True,53.0,True,-47.1,47.1,candidate_only,53.0,True,True,False,False,63.0,True,53.0,True,data3
9,13.999986,8.999991,18.999981,100.0,True,53.0,True,-47.0,47.0,candidate_only,53.0,True,True,False,False,63.0,True,53.0,True,data3
10,14.999985,9.99999,19.99998,100.0,True,53.0,True,-47.0,47.0,candidate_only,53.0,True,True,False,False,63.0,True,53.0,True,data3
11,15.999984,10.999989,20.999979,100.2,True,52.0,True,-48.2,48.2,candidate_only,52.0,True,True,False,False,63.0,True,52.0,True,data3
12,16.999983,11.999988,21.999978,100.4,True,52.0,True,-48.400000000000006,48.400000000000006,candidate_only,52.0,True,True,False,False,62.0,True,52.0,True,data3
13,17.999982,12.999987,22.999977,100.7,True,52.0,True,-48.7,48.7,candidate_only,52.0,True,True,False,False,61.0,True,52.0,True,data3
14,18.999981,13.999986,23.999976,101.1,True,53.0,True,-48.1,48.1,candidate_only,53.0,True,True,False,False,60.0,True,53.0,True,data3
15,19.99998,14.999985,24.999975,101.6,True,56.0,True,-45.6,45.6,candidate_only,56.0,True,True,False,False,60.0,True,56.0,True,data3
16,20.999979,15.999984,25.999974,102.2,True,58.0,True,-44.2,44.2,candidate_only,58.0,True,True,False,False,60.0,True,58.0,True,data3
17,21.999978,16.999983,26.999973,103.0,True,60.0,True,-43.0,43.0,candidate_only,60.0,True,True,False,False,59.0,True,60.0,True,data3
18,22.999977,17.999982,27.999972,104.0,True,61.0,True,-43.0,43.0,candidate_only,61.0,True,True,False,False,58.0,True,61.0,True,data3
19,23.999976,18.999981,28.999971,104.9,True,62.0,True,-42.900000000000006,42.900000000000006,candidate_only,62.0,True,True,False,False,57.0,True,62.0,True,data3
20,24.999975,19.99998,29.99997,105.8,True,62.0,True,-43.8,43.8,candidate_only,62.0,True,True,False,False,56.0,True,62.0,True,data3
21,25.999974,20.999979,30.999969,106.6,True,56.0,True,-50.6,50.6,candidate_only,56.0,True,True,False,False,55.0,True,56.0,True,data3
22,26.999973,21.999978,31.999968,107.4,True,54.0,True,-53.400000000000006,53.400000000000006,candidate_only,54.0,True,True,False,False,54.0,True,54.0,True,data3
23,27.999972,22.999977,32.999967,108.1,True,53.0,True,-55.1,55.1,candidate_only,53.0,True,True,False,False,54.0,True,53.0,True,data3
24,28.999971,23.999976,33.999966,108.7,True,53.0,True,-55.7,55.7,candidate_only,53.0,True,True,False,False,54.0,True,53.0,True,data3
25,29.99997,24.999975,34.999965,109.2,True,52.0,True,-57.2,57.2,candidate_only,52.0,True,True,False,False,53.0,True,52.0,True,data3
26,30.999969,25.999974,35.999964,109.6,True,51.0,True,-58.6,58.6,candidate_only,51.0,True,True,False,False,52.0,True,51.0,True,data3
27,31.999968,26.999973,36.999963,109.8,True,50.0,True,-59.8,59.8,candidate_only,50.0,True,True,False,False,51.0,True,50.0,True,data3
28,32.999967,27.999972,37.999962,109.8,True,49.0,True,-60.8,60.8,candidate_only,49.0,True,True,False,False,50.0,True,49.0,True,data3
29,33.999966,28.999971,38.999961,109.7,True,49.0,True,-60.7,60.7,candidate_only,49.0,True,True,False,False,49.0,True,49.0,True,data3
30,34.999965,29.99997,39.99996,109.5,True,50.0,True,-59.5,59.5,candidate_only,50.0,True,True,False,False,50.0,True,50.0,True,data3
31,35.999964,30.999969,40.999959,109.2,True,51.0,True,-58.2,58.2,candidate_only,51.0,True,True,False,False,51.0,True,51.0,True,data3
32,36.999963,31.999968,41.999958,108.9,True,53.0,True,-55.900000000000006,55.900000000000006,candidate_only,53.0,True,True,False,False,53.0,True,53.0,True,data3
33,37.999962,32.999967,42.999957,108.5,True,54.0,True,-54.5,54.5,candidate_only,54.0,True,True,False,False,54.0,True,54.0,True,data3
34,38.999961,33.999966,43.999956,108.1,True,55.0,True,-53.1,53.1,candidate_only,55.0,True,True,False,False,55.0,True,55.0,True,data3
35,39.99996,34.999965,44.999955,107.7,True,56.0,True,-51.7,51.7,candidate_only,56.0,True,True,False,False,56.0,True,56.0,True,data3
36,40.999959,35.999964,45.999954,107.3,True,57.0,True,-50.3,50.3,candidate_only,57.0,True,True,False,False,57.0,True,57.0,True,data3
37,41.999958,36.999963,46.999953,106.9,True,57.0,True,-49.900000000000006,49.900000000000006,candidate_only,57.0,True,True,False,False,58.0,True,57.0,True,data3
