window_index,time_s,window_start_s,window_end_s,reference_bpm,reference_valid,estimated_bpm,accepted,V25_bpm,V25_accepted,error_bpm,abs_error_bpm,status,common,new,lost
0,4.999995,0.0,9.99999,101.3,True,,False,,False,,,gap_or_filter_edge,False,False,False
1,5.999994,0.999999,10.999989,101.4,True,,False,,False,,,gap_or_filter_edge,False,False,False
2,6.999993,1.999998,11.999988,101.4,True,,False,,False,,,gap_or_filter_edge,False,False,False
3,7.999992,2.999997,12.999987,101.3,True,92.0,True,,False,-9.299999999999997,9.299999999999997,candidate_only,False,True,False
4,8.999991,3.999996,13.999986,101.2,True,92.0,True,92.0,True,-9.200000000000003,9.200000000000003,candidate_only,True,False,False
5,9.99999,4.999995,14.999985,101.2,True,93.0,True,92.0,True,-8.200000000000003,8.200000000000003,candidate_only,True,False,False
6,10.999989,5.999994,15.999984,101.3,True,93.0,True,93.0,True,-8.299999999999997,8.299999999999997,candidate_only,True,False,False
7,11.999988,6.999993,16.999983,101.4,True,93.0,True,94.0,True,-8.400000000000006,8.400000000000006,candidate_only,True,False,False
8,12.999987,7.999992,17.999982,101.5,True,93.0,True,94.0,True,-8.5,8.5,candidate_only,True,False,False
9,13.999986,8.999991,18.999981,101.7,True,93.0,True,94.0,True,-8.700000000000003,8.700000000000003,candidate_only,True,False,False
10,14.999985,9.99999,19.99998,101.9,True,94.0,True,94.0,True,-7.900000000000006,7.900000000000006,candidate_only,True,False,False
11,15.999984,10.999989,20.999979,102.2,True,94.0,True,94.0,True,-8.200000000000003,8.200000000000003,candidate_only,True,False,False
12,16.999983,11.999988,21.999978,102.6,True,94.0,True,93.0,True,-8.599999999999994,8.599999999999994,candidate_only,True,False,False
13,17.999982,12.999987,22.999977,103.0,True,94.0,True,93.0,True,-9.0,9.0,candidate_only,True,False,False
14,18.999981,13.999986,23.999976,103.4,True,94.0,True,92.0,True,-9.400000000000006,9.400000000000006,candidate_only,True,False,False
15,19.99998,14.999985,24.999975,103.7,True,95.0,True,92.0,True,-8.700000000000003,8.700000000000003,candidate_only,True,False,False
16,20.999979,15.999984,25.999974,103.9,True,62.0,True,92.0,True,-41.900000000000006,41.900000000000006,candidate_only,True,False,False
17,21.999978,16.999983,26.999973,104.1,True,62.0,True,92.0,True,-42.099999999999994,42.099999999999994,candidate_only,True,False,False
18,22.999977,17.999982,27.999972,104.3,True,62.0,True,92.0,True,-42.3,42.3,candidate_only,True,False,False
19,23.999976,18.999981,28.999971,104.5,True,63.0,True,92.0,True,-41.5,41.5,candidate_only,True,False,False
20,24.999975,19.99998,29.99997,104.7,True,64.0,True,93.0,True,-40.7,40.7,candidate_only,True,False,False
21,25.999974,20.999979,30.999969,104.9,True,65.0,True,94.0,True,-39.900000000000006,39.900000000000006,candidate_only,True,False,False
22,26.999973,21.999978,31.999968,105.1,True,65.0,True,94.0,True,-40.099999999999994,40.099999999999994,candidate_only,True,False,False
23,27.999972,22.999977,32.999967,105.4,True,64.0,True,94.0,True,-41.400000000000006,41.400000000000006,candidate_only,True,False,False
24,28.999971,23.999976,33.999966,105.8,True,63.0,True,94.0,True,-42.8,42.8,candidate_only,True,False,False
25,29.99997,24.999975,34.999965,106.3,True,62.0,True,94.0,True,-44.3,44.3,candidate_only,True,False,False
26,30.999969,25.999974,35.999964,106.9,True,62.0,True,94.0,True,-44.900000000000006,44.900000000000006,candidate_only,True,False,False
27,31.999968,26.999973,36.999963,107.5,True,62.0,True,94.0,True,-45.5,45.5,candidate_only,True,False,False
28,32.999967,27.999972,37.999962,108.3,True,63.0,True,95.0,True,-45.3,45.3,candidate_only,True,False,False
29,33.999966,28.999971,38.999961,109.1,True,64.0,True,95.0,True,-45.099999999999994,45.099999999999994,candidate_only,True,False,False
30,34.999965,29.99997,39.99996,110.0,True,66.0,True,95.0,True,-44.0,44.0,candidate_only,True,False,False
31,35.999964,30.999969,40.999959,110.9,True,67.0,True,95.0,True,-43.900000000000006,43.900000000000006,candidate_only,True,False,False
32,36.999963,31.999968,41.999958,111.7,True,67.0,True,95.0,True,-44.7,44.7,candidate_only,True,False,False
33,37.999962,32.999967,42.999957,112.4,True,66.0,True,95.0,True,-46.400000000000006,46.400000000000006,candidate_only,True,False,False
34,38.999961,33.999966,43.999956,112.9,True,65.0,True,94.0,True,-47.900000000000006,47.900000000000006,candidate_only,True,False,False
35,39.99996,34.999965,44.999955,113.3,True,64.0,True,94.0,True,-49.3,49.3,candidate_only,True,False,False
36,40.999959,35.999964,45.999954,113.7,True,63.0,True,94.0,True,-50.7,50.7,candidate_only,True,False,False
37,41.999958,36.999963,46.999953,114.0,True,62.0,True,94.0,True,-52.0,52.0,candidate_only,True,False,False
38,42.999957,37.999962,47.999952,114.3,True,60.0,True,94.0,True,-54.3,54.3,candidate_only,True,False,False
39,43.999956,38.999961,48.999951,114.6,True,59.0,True,94.0,True,-55.599999999999994,55.599999999999994,candidate_only,True,False,False
40,44.999955,39.99996,49.99995,114.9,True,58.0,True,94.0,True,-56.900000000000006,56.900000000000006,candidate_only,True,False,False
41,45.999954,40.999959,50.999949,115.2,True,,False,,False,,,gap_or_filter_edge,False,False,False
