window_index,time_s,window_start_s,window_end_s,reference_bpm,reference_valid,estimated_bpm,accepted,V25_bpm,V25_accepted,error_bpm,abs_error_bpm,status,common,new,lost,fusion_readout_bpm,fusion_readout_accepted
0,4.999995,0.0,9.99999,101.3,True,,False,,False,,,insufficient_regions,False,False,False,,False
1,5.999994,0.999999,10.999989,101.4,True,,False,,False,,,insufficient_regions,False,False,False,,False
2,6.999993,1.999998,11.999988,101.4,True,,False,,False,,,insufficient_regions,False,False,False,,False
3,7.999992,2.999997,12.999987,101.3,True,185.0,True,,False,83.7,83.7,accepted,False,True,False,93.0,True
4,8.999991,3.999996,13.999986,101.2,True,184.0,True,92.0,True,82.8,82.8,accepted,True,False,False,93.0,True
5,9.99999,4.999995,14.999985,101.2,True,183.0,True,92.0,True,81.8,81.8,accepted,True,False,False,93.0,True
6,10.999989,5.999994,15.999984,101.3,True,183.0,True,93.0,True,81.7,81.7,accepted,True,False,False,93.0,True
7,11.999988,6.999993,16.999983,101.4,True,183.0,True,94.0,True,81.6,81.6,accepted,True,False,False,93.0,True
8,12.999987,7.999992,17.999982,101.5,True,184.0,True,94.0,True,82.5,82.5,accepted,True,False,False,93.0,True
9,13.999986,8.999991,18.999981,101.7,True,94.0,True,94.0,True,-7.700000000000003,7.700000000000003,accepted,True,False,False,93.0,True
10,14.999985,9.99999,19.99998,101.9,True,94.0,True,94.0,True,-7.900000000000006,7.900000000000006,accepted,True,False,False,93.0,True
11,15.999984,10.999989,20.999979,102.2,True,94.0,True,94.0,True,-8.200000000000003,8.200000000000003,accepted,True,False,False,93.0,True
12,16.999983,11.999988,21.999978,102.6,True,95.0,True,93.0,True,-7.599999999999994,7.599999999999994,accepted,True,False,False,93.0,True
13,17.999982,12.999987,22.999977,103.0,True,96.0,True,93.0,True,-7.0,7.0,accepted,True,False,False,93.0,True
14,18.999981,13.999986,23.999976,103.4,True,95.0,True,92.0,True,-8.400000000000006,8.400000000000006,accepted,True,False,False,93.0,True
15,19.99998,14.999985,24.999975,103.7,True,95.0,True,92.0,True,-8.700000000000003,8.700000000000003,accepted,True,False,False,93.0,True
16,20.999979,15.999984,25.999974,103.9,True,96.0,True,92.0,True,-7.900000000000006,7.900000000000006,accepted,True,False,False,93.0,True
17,21.999978,16.999983,26.999973,104.1,True,91.0,True,92.0,True,-13.099999999999994,13.099999999999994,accepted,True,False,False,93.0,True
18,22.999977,17.999982,27.999972,104.3,True,105.0,True,92.0,True,0.7000000000000028,0.7000000000000028,accepted,True,False,False,93.0,True
19,23.999976,18.999981,28.999971,104.5,True,106.0,True,92.0,True,1.5,1.5,accepted,True,False,False,94.0,True
20,24.999975,19.99998,29.99997,104.7,True,109.0,True,93.0,True,4.299999999999997,4.299999999999997,accepted,True,False,False,95.0,True
21,25.999974,20.999979,30.999969,104.9,True,113.0,True,94.0,True,8.099999999999994,8.099999999999994,accepted,True,False,False,95.0,True
22,26.999973,21.999978,31.999968,105.1,True,185.0,True,94.0,True,79.9,79.9,accepted,True,False,False,94.0,True
23,27.999972,22.999977,32.999967,105.4,True,186.0,True,94.0,True,80.6,80.6,accepted,True,False,False,93.0,True
24,28.999971,23.999976,33.999966,105.8,True,185.0,True,94.0,True,79.2,79.2,accepted,True,False,False,93.0,True
25,29.99997,24.999975,34.999965,106.3,True,94.0,True,94.0,True,-12.299999999999997,12.299999999999997,accepted,True,False,False,93.0,True
26,30.999969,25.999974,35.999964,106.9,True,95.0,True,94.0,True,-11.900000000000006,11.900000000000006,accepted,True,False,False,94.0,True
27,31.999968,26.999973,36.999963,107.5,True,95.0,True,94.0,True,-12.5,12.5,accepted,True,False,False,95.0,True
28,32.999967,27.999972,37.999962,108.3,True,95.0,True,95.0,True,-13.299999999999997,13.299999999999997,accepted,True,False,False,96.0,True
29,33.999966,28.999971,38.999961,109.1,True,95.0,True,95.0,True,-14.099999999999994,14.099999999999994,accepted,True,False,False,96.0,True
30,34.999965,29.99997,39.99996,110.0,True,117.0,True,95.0,True,7.0,7.0,accepted,True,False,False,96.0,True
31,35.999964,30.999969,40.999959,110.9,True,116.0,True,95.0,True,5.099999999999994,5.099999999999994,accepted,True,False,False,96.0,True
32,36.999963,31.999968,41.999958,111.7,True,115.0,True,95.0,True,3.299999999999997,3.299999999999997,accepted,True,False,False,96.0,True
33,37.999962,32.999967,42.999957,112.4,True,114.0,True,95.0,True,1.5999999999999943,1.5999999999999943,accepted,True,False,False,96.0,True
34,38.999961,33.999966,43.999956,112.9,True,114.0,True,94.0,True,1.0999999999999943,1.0999999999999943,accepted,True,False,False,96.0,True
35,39.99996,34.999965,44.999955,113.3,True,96.0,True,94.0,True,-17.299999999999997,17.299999999999997,accepted,True,False,False,96.0,True
36,40.999959,35.999964,45.999954,113.7,True,97.0,True,94.0,True,-16.700000000000003,16.700000000000003,accepted,True,False,False,97.0,True
37,41.999958,36.999963,46.999953,114.0,True,187.0,True,94.0,True,73.0,73.0,accepted,True,False,False,98.0,True
38,42.999957,37.999962,47.999952,114.3,True,187.0,True,94.0,True,72.7,72.7,accepted,True,False,False,100.0,True
39,43.999956,38.999961,48.999951,114.6,True,122.0,True,94.0,True,7.400000000000006,7.400000000000006,accepted,True,False,False,102.0,True
40,44.999955,39.99996,49.99995,114.9,True,122.0,True,94.0,True,7.099999999999994,7.099999999999994,accepted,True,False,False,103.0,True
41,45.999954,40.999959,50.999949,115.2,True,,False,,False,,,insufficient_regions,False,False,False,,False
