window_index,time_s,window_start_s,window_end_s,old_accepted,old_bpm,candidate_bpm,candidate_generated,candidate_proposal_supported,contributing_rois,contributing_roi_names,old_window_finite,candidate_window_finite,motion_available,motion_status,motion_speed_face_per_s,motion_strength,motion_reliability,old_motion_risk,old_motion_risk_direct,old_motion_risk_double,old_motion_risk_half,candidate_motion_risk_direct,candidate_motion_risk_double,candidate_motion_risk_half,candidate_motion_risk,motion_risk_decrease,route_eligible,reason
0,4.999995,0.0,9.99999,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
1,5.999994,0.999999,10.999989,False,,,False,False,0,[],False,False,False,not_evaluated,,,,,,,,,,,,,False,old_hr_not_accepted
2,6.999993,1.999998,11.999988,True,75.0,74.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.03219678438961481,0.01631551559010841,1.0,0.008035783842715085,0.0035734591885265197,0.010044729803393855,0.003182423354393519,0.003910242619020961,0.011439923763353907,0.0031416484950385548,0.009151939010683126,-0.0011161551679680411,False,old_motion_risk_below_threshold
3,7.999992,2.999997,12.999986999999999,True,76.0,75.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.03143494637744691,0.015564412613105537,1.0,0.006225156621983601,0.006225156621983601,0.0037328664688578324,0.0007741984676015758,0.006564141665670512,0.006108088957902401,0.0006848326127747392,0.006564141665670512,-0.00033898504368691084,False,old_motion_risk_below_threshold
4,8.999991,3.999996,13.999986,True,77.0,76.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.024818040221214734,0.009758789428480477,1.0,0.005399932723392039,0.005399932723392039,0.001006098587402833,0.0004401120672223913,0.005638703224603149,0.0014248207685818874,0.00037714165365945507,0.005638703224603149,-0.00023877050121111007,False,old_motion_risk_below_threshold
5,9.99999,4.999995,14.999984999999999,True,77.0,77.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.026033830345121245,0.010727830790130727,1.0,0.008557597410367572,0.008557597410367572,0.001511504709802096,0.0010109844918207746,0.008557597410367572,0.001511504709802096,0.0010109844918207746,0.008557597410367572,0.0,False,old_motion_risk_below_threshold
6,10.999989,5.999994,15.999984,True,77.0,77.0,False,True,0,[],True,True,False,not_evaluated,,,,,,,,,,,,,False,candidate_not_generated_and_supported
7,11.999988,6.999993,16.999983,True,76.0,77.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.034760535611870126,0.01896605205231229,1.0,0.006964548739607175,0.006964548739607175,0.007437466369483586,0.005706364593637058,0.006988180592331844,0.009246805617091925,0.005276412728385637,0.00739744449367354,-0.0004328957540663649,False,old_motion_risk_below_threshold
8,12.999986999999999,7.999992,17.999982,True,76.0,77.0,True,True,2,"[""forehead"", ""right_cheek""]",True,True,True,observed_motion,0.03875342482391146,0.02346539128685727,1.0,0.009819252156887231,0.0014653604392009581,0.012274065196109038,0.00831806922982194,0.0022181132769158564,0.013607916981618938,0.007781685601089519,0.01088633358529515,-0.0010670814284079195,False,old_motion_risk_below_threshold
9,13.999986,8.999991,18.999981,True,76.0,78.0,True,True,2,"[""forehead"", ""right_cheek""]",True,True,True,observed_motion,0.039471309242575234,0.024321468611341525,1.0,0.008545756814323353,0.002876391939475503,0.010682196017904192,0.008595781879584794,0.00393994006925814,0.008276553232750233,0.007159214116058179,0.006621242586200187,0.0019245142281231666,False,old_motion_risk_below_threshold
10,14.999984999999999,9.99999,19.99998,True,77.0,78.0,True,True,2,"[""forehead"", ""right_cheek""]",True,True,True,observed_motion,0.0390226723358557,0.023784803142028757,1.0,0.00587887112044732,0.00587887112044732,0.006809510757963846,0.008271356501454767,0.005845084111518077,0.004690441822446285,0.007300918494837235,0.005845084111518077,3.3787008929242295e-05,False,old_motion_risk_below_threshold
11,15.999984,10.999989,20.999979,True,78.0,78.0,True,True,3,"[""forehead"", ""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.04848290809915122,0.036246274576162474,1.0,0.010850993803110677,0.010850993803110677,0.00625682597992031,0.01218875176005185,0.010850993803110677,0.00625682597992031,0.01218875176005185,0.010850993803110677,0.0,False,old_motion_risk_below_threshold
12,16.999983,11.999988,21.999978,True,79.0,79.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.05674724737659348,0.04899935835095203,1.0,0.01791786774000689,0.01791786774000689,0.013283292517494057,0.019238980258429666,0.01791786774000689,0.013283292517494057,0.019238980258429666,0.01791786774000689,0.0,False,old_motion_risk_below_threshold
13,17.999982,12.999986999999999,22.999976999999998,True,80.0,80.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.05996406578311784,0.05440126624846409,1.0,0.013012015126181217,0.013012015126181217,0.013507930532827216,0.015258057106557614,0.013012015126181217,0.013507930532827216,0.015258057106557614,0.013012015126181217,0.0,False,old_motion_risk_below_threshold
14,18.999981,13.999986,23.999976,True,80.0,80.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.06054884145908212,0.055408415419992293,1.0,0.012342641183382462,0.012342641183382462,0.008486345890929576,0.015392506760089793,0.012342641183382462,0.008486345890929576,0.015392506760089793,0.012342641183382462,0.0,False,old_motion_risk_below_threshold
15,19.99998,14.999984999999999,24.999975,True,80.0,80.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.0599939977558407,0.054452632153180844,1.0,0.016721861607257377,0.016721861607257377,0.004746055865867614,0.016783629857841195,0.016721861607257377,0.004746055865867614,0.016783629857841195,0.016721861607257377,0.0,False,old_motion_risk_below_threshold
16,20.999979,15.999984,25.999973999999998,True,79.0,79.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.061198018254980543,0.05653538042245367,1.0,0.02324376248681074,0.02324376248681074,0.003488588059270318,0.020381909598528862,0.02324376248681074,0.003488588059270318,0.020381909598528862,0.02324376248681074,0.0,False,old_motion_risk_below_threshold
17,21.999978,16.999983,26.999972999999997,True,78.0,78.0,True,True,2,"[""left_cheek"", ""right_cheek""]",True,True,True,observed_motion,0.058484385972056845,0.05188715766648613,1.0,0.027725429066225122,0.027725429066225122,0.0019937914439147972,0.021541378465808985,0.027725429066225122,0.0019937914439147972,0.021541378465808985,0.027725429066225122,0.0,False,old_motion_risk_below_threshold
